"('Galaxy ID', '', '')","('Accuracy', 'th=1', 'Only spirals')","('Accuracy', 'th=1', 'All images')","('Accuracy', 'th=2', 'Only spirals')","('Accuracy', 'th=2', 'All images')","('Accuracy', 'th=3', 'Only spirals')","('Accuracy', 'th=3', 'All images')","('Accuracy', 'th=4', 'Only spirals')","('Accuracy', 'th=4', 'All images')","('Precision', 'th=1', 'Only spirals')","('Precision', 'th=1', 'All images')","('Precision', 'th=2', 'Only spirals')","('Precision', 'th=2', 'All images')","('Precision', 'th=3', 'Only spirals')","('Precision', 'th=3', 'All images')","('Precision', 'th=4', 'Only spirals')","('Precision', 'th=4', 'All images')","('Sensitivity', 'th=1', 'Only spirals')","('Sensitivity', 'th=1', 'All images')","('Sensitivity', 'th=2', 'Only spirals')","('Sensitivity', 'th=2', 'All images')","('Sensitivity', 'th=3', 'Only spirals')","('Sensitivity', 'th=3', 'All images')","('Sensitivity', 'th=4', 'Only spirals')","('Sensitivity', 'th=4', 'All images')","('Specificity', 'th=1', 'Only spirals')","('Specificity', 'th=1', 'All images')","('Specificity', 'th=2', 'Only spirals')","('Specificity', 'th=2', 'All images')","('Specificity', 'th=3', 'Only spirals')","('Specificity', 'th=3', 'All images')","('Specificity', 'th=4', 'Only spirals')","('Specificity', 'th=4', 'All images')","('Jaccard', 'th=1', 'Only spirals')","('Jaccard', 'th=1', 'All images')","('Jaccard', 'th=2', 'Only spirals')","('Jaccard', 'th=2', 'All images')","('Jaccard', 'th=3', 'Only spirals')","('Jaccard', 'th=3', 'All images')","('Jaccard', 'th=4', 'Only spirals')","('Jaccard', 'th=4', 'All images')"
b'1-61623',0.83587646484375,0.94366455078125,0.93951416015625,0.99212646484375,0.98822021484375,1.0,0.99530029296875,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.83587646484375,0.94366455078125,0.93951416015625,0.99212646484375,0.98822021484375,1.0,0.99530029296875,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,
b'1-493262',0.93853759765625,0.9400634765625,0.95660400390625,0.91595458984375,0.93768310546875,0.94903564453125,0.9742431640625,0.96441650390625,0.7249381188118812,0.9393939393939394,0.7804136253041363,0.9507042253521126,0.08849557522123894,,0.7656765676567657,,0.9520520113774888,0.6424217797643235,0.7856705450091855,0.1653398652786283,0.023952095808383235,0.0,0.3979416809605489,0.0,0.9361488185017597,0.9926739926739927,0.9755270829096332,0.9990509118025896,0.9867515595858255,1.0,0.9955066135054743,1.0,0.6994029850746268,0.6168552477565353,0.6434302908726178,0.16393442622950818,0.01921229586935639,0.0,0.3547400611620795,0.0
b'1-76308',0.87274169921875,1.0,1.0,1.0,0.99041748046875,1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,0.87274169921875,1.0,1.0,1.0,0.99041748046875,1.0,1.0,1.0,0.0,,,,0.0,,,
b'1-469451',0.97607421875,1.0,1.0,1.0,0.99310302734375,1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,0.97607421875,1.0,1.0,1.0,0.99310302734375,1.0,1.0,1.0,0.0,,,,0.0,,,
b'1-49255',0.95965576171875,0.90325927734375,0.98565673828125,0.947998046875,0.9656982421875,0.95941162109375,0.98382568359375,0.97021484375,0.9557446808510638,1.0,0.9347319347319347,0.9640287769784173,1.0,,0.9187279151943463,1.0,0.6483833718244804,0.0848729792147806,0.817533129459735,0.1365953109072375,0.1548872180451128,0.0,0.5179282868525896,0.027888446215139442,0.9964509964509964,1.0,0.9963643446081932,0.9996753879114458,1.0,1.0,0.9985518196700668,1.0,0.6294843049327354,0.0848729792147806,0.7733847637415622,0.1359026369168357,0.1548872180451128,0.0,0.49523809523809526,0.027888446215139442
b'1-536854',0.77392578125,0.9794921875,0.974609375,0.9993896484375,0.98358154296875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.77392578125,0.9794921875,0.974609375,0.9993896484375,0.98358154296875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
b'1-238643',0.95452880859375,1.0,1.0,1.0,0.9931640625,1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,0.95452880859375,1.0,1.0,1.0,0.9931640625,1.0,1.0,1.0,0.0,,,,0.0,,,
b'1-420902',0.97528076171875,0.92181396484375,0.968017578125,0.93865966796875,0.9635009765625,0.96240234375,0.9771728515625,0.97625732421875,0.9138127853881278,0.9783333333333334,0.6907216494845361,,0.5357142857142857,,1.0,,0.8630727762803234,0.3164420485175202,0.8666666666666667,0.0,0.21915584415584416,0.0,0.038560411311053984,0.0,0.9896069929107303,0.9991052378002615,0.9746407438715131,1.0,0.992579908675799,1.0,1.0,1.0,0.7981056829511466,0.31423982869379014,0.6243727598566309,0.0,0.18417462482946795,0.0,0.038560411311053984,0.0
b'1-10794',0.8604736328125,0.99847412109375,0.9302978515625,1.0,0.99078369140625,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.8604736328125,0.99847412109375,0.9302978515625,1.0,0.99078369140625,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,
b'1-351702',0.9464111328125,1.0,0.9990234375,1.0,0.99322509765625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.9464111328125,1.0,0.9990234375,1.0,0.99322509765625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-55927',0.9686279296875,0.9337158203125,0.97021484375,0.97705078125,0.98138427734375,0.98272705078125,0.99005126953125,0.98974609375,0.8667481662591687,1.0,0.6741573033707865,0.8121693121693122,0.4,,0.5714285714285714,,0.6364452423698385,0.025134649910233394,0.39215686274509803,0.5016339869281046,0.15547703180212014,0.0,0.11904761904761904,0.0,0.9928618205631958,1.0,0.9926451940147096,0.9954983515090033,0.9959008757220048,1.0,0.9990749876665023,1.0,0.5797219950940311,0.025134649910233394,0.32967032967032966,0.4494875549048316,0.12607449856733524,0.0,0.1092896174863388,0.0
b'1-567902',0.8656005859375,1.0,0.99560546875,1.0,0.986328125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.8656005859375,1.0,0.99560546875,1.0,0.986328125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-52701',0.84234619140625,1.0,0.989501953125,1.0,0.98187255859375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.84234619140625,1.0,0.989501953125,1.0,0.98187255859375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-213825',0.91644287109375,1.0,1.0,1.0,0.98175048828125,1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,0.91644287109375,1.0,1.0,1.0,0.98175048828125,1.0,1.0,1.0,0.0,,,,0.0,,,
b'1-318009',0.94970703125,1.0,0.97412109375,1.0,0.9964599609375,1.0,0.99713134765625,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.94970703125,1.0,0.97412109375,1.0,0.9964599609375,1.0,0.99713134765625,1.0,0.0,,0.0,,0.0,,0.0,
b'1-173164',0.90118408203125,1.0,0.989013671875,1.0,0.9931640625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.90118408203125,1.0,0.989013671875,1.0,0.9931640625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-630759',0.714111328125,0.82373046875,0.8629150390625,0.90447998046875,0.96942138671875,0.92718505859375,0.9759521484375,0.99578857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.714111328125,0.82373046875,0.8629150390625,0.90447998046875,0.96942138671875,0.92718505859375,0.9759521484375,0.99578857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'1-548190',0.95965576171875,0.94000244140625,0.97662353515625,0.93133544921875,0.94122314453125,0.97308349609375,0.972412109375,0.9664306640625,0.839095744680851,0.875268817204301,0.8741721854304636,1.0,0.25728155339805825,0.9567099567099567,1.0,,0.7507436049970255,0.4842355740630577,0.787052810902896,0.041737649063032366,0.06141367323290846,0.5121668597914253,0.1781818181818182,0.0,0.9835407739917024,0.9921104536489151,0.9912557527942143,1.0,0.9901423877327492,0.9987114232330391,1.0,1.0,0.656266250650026,0.452977184195882,0.7069625095638867,0.041737649063032366,0.05216535433070866,0.5005662514156285,0.1781818181818182,0.0
b'1-301561',0.90496826171875,0.9815673828125,0.940185546875,1.0,0.9932861328125,1.0,0.9957275390625,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.90496826171875,0.9815673828125,0.940185546875,1.0,0.9932861328125,1.0,0.9957275390625,1.0,0.0,0.0,0.0,,0.0,,0.0,
b'1-498137',0.77313232421875,0.96417236328125,0.8953857421875,0.9886474609375,0.9691162109375,1.0,0.9822998046875,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.77313232421875,0.96417236328125,0.8953857421875,0.9886474609375,0.9691162109375,1.0,0.9822998046875,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,
