"Step","scintillating-cake-62 - loss","scintillating-cake-62 - loss__MIN","scintillating-cake-62 - loss__MAX"
"0","0.07297124713659286","0.07297124713659286","0.07297124713659286"
"1","0.0419684574007988","0.0419684574007988","0.0419684574007988"
"2","0.04145452007651329","0.04145452007651329","0.04145452007651329"
"3","0.04011883959174156","0.04011883959174156","0.04011883959174156"
"4","0.03748665004968643","0.03748665004968643","0.03748665004968643"
"5","0.03529247269034386","0.03529247269034386","0.03529247269034386"
"6","0.03330295905470848","0.03330295905470848","0.03330295905470848"
"7","0.03221973776817322","0.03221973776817322","0.03221973776817322"
"8","0.03159964084625244","0.03159964084625244","0.03159964084625244"
"9","0.03114934451878071","0.03114934451878071","0.03114934451878071"
"10","0.030987517908215523","0.030987517908215523","0.030987517908215523"
"11","0.030229568481445312","0.030229568481445312","0.030229568481445312"
"12","0.03042127937078476","0.03042127937078476","0.03042127937078476"
"13","0.02969690039753914","0.02969690039753914","0.02969690039753914"
"14","0.029622536152601242","0.029622536152601242","0.029622536152601242"
"15","0.02939228154718876","0.02939228154718876","0.02939228154718876"
"16","0.02930554933845997","0.02930554933845997","0.02930554933845997"
"17","0.028931178152561188","0.028931178152561188","0.028931178152561188"
"18","0.028635088354349136","0.028635088354349136","0.028635088354349136"
"19","0.02844645269215107","0.02844645269215107","0.02844645269215107"
"20","0.028085578233003616","0.028085578233003616","0.028085578233003616"
"21","0.0282233078032732","0.0282233078032732","0.0282233078032732"
"22","0.027925092726945877","0.027925092726945877","0.027925092726945877"
"23","0.02739703096449375","0.02739703096449375","0.02739703096449375"
"24","0.02738494798541069","0.02738494798541069","0.02738494798541069"
"25","0.027407238259911537","0.027407238259911537","0.027407238259911537"
"26","0.02706972509622574","0.02706972509622574","0.02706972509622574"
"27","0.026740891858935356","0.026740891858935356","0.026740891858935356"
"28","0.026344889774918556","0.026344889774918556","0.026344889774918556"
"29","0.02605947107076645","0.02605947107076645","0.02605947107076645"
"30","0.02598542906343937","0.02598542906343937","0.02598542906343937"
"31","0.025662127882242203","0.025662127882242203","0.025662127882242203"
"32","0.02532634139060974","0.02532634139060974","0.02532634139060974"
"33","0.02520080655813217","0.02520080655813217","0.02520080655813217"
"34","0.024744784459471703","0.024744784459471703","0.024744784459471703"
"35","0.02458997815847397","0.02458997815847397","0.02458997815847397"
"36","0.024338966235518456","0.024338966235518456","0.024338966235518456"
"37","0.024164525792002678","0.024164525792002678","0.024164525792002678"
"38","0.02368262968957424","0.02368262968957424","0.02368262968957424"
"39","0.02329922281205654","0.02329922281205654","0.02329922281205654"
"40","0.023435048758983612","0.023435048758983612","0.023435048758983612"
"41","0.022970829159021378","0.022970829159021378","0.022970829159021378"
"42","0.022465040907263756","0.022465040907263756","0.022465040907263756"
"43","0.022442888468503952","0.022442888468503952","0.022442888468503952"
"44","0.02208179607987404","0.02208179607987404","0.02208179607987404"
"45","0.02170986495912075","0.02170986495912075","0.02170986495912075"
"46","0.021445797756314278","0.021445797756314278","0.021445797756314278"
"47","0.021229343488812447","0.021229343488812447","0.021229343488812447"
"48","0.02110031433403492","0.02110031433403492","0.02110031433403492"
"49","0.020778076723217964","0.020778076723217964","0.020778076723217964"
"50","0.020535923540592194","0.020535923540592194","0.020535923540592194"
"51","0.020269352942705154","0.020269352942705154","0.020269352942705154"
"52","0.020066766068339348","0.020066766068339348","0.020066766068339348"
"53","0.019664937630295753","0.019664937630295753","0.019664937630295753"
"54","0.019728725776076317","0.019728725776076317","0.019728725776076317"
"55","0.019737787544727325","0.019737787544727325","0.019737787544727325"
"56","0.019388984888792038","0.019388984888792038","0.019388984888792038"
"57","0.019036833196878433","0.019036833196878433","0.019036833196878433"
"58","0.019070466980338097","0.019070466980338097","0.019070466980338097"
"59","0.018856164067983627","0.018856164067983627","0.018856164067983627"
"60","0.018740959465503693","0.018740959465503693","0.018740959465503693"
"61","0.018430881202220917","0.018430881202220917","0.018430881202220917"
