,TN U-Net,FP U-Net,FN U-Net,TP U-Net,TN Sky,FP Sky,FN Sky,TP Sky
87,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
88,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
89,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
90,15562.0,0.0,818.0,4.0,15562.0,0.0,822.0,0.0
91,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
92,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
93,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
94,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
95,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
96,15514.0,42.0,637.0,191.0,15556.0,0.0,828.0,0.0
97,15687.0,182.0,261.0,254.0,15869.0,0.0,515.0,0.0
98,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
99,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
100,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
101,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
102,15912.0,33.0,439.0,0.0,15945.0,0.0,439.0,0.0
103,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
104,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
105,15605.0,93.0,457.0,229.0,15698.0,0.0,686.0,0.0
106,15370.0,11.0,890.0,113.0,15381.0,0.0,1003.0,0.0
107,15472.0,171.0,325.0,416.0,15643.0,0.0,741.0,0.0
108,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
109,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
110,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
111,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
112,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
113,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
114,15509.0,57.0,294.0,524.0,15566.0,0.0,818.0,0.0
115,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
116,16265.0,119.0,0.0,0.0,16384.0,0.0,0.0,0.0
117,15744.0,70.0,347.0,223.0,15814.0,0.0,570.0,0.0
118,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
119,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
120,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
121,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
122,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
123,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
124,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
125,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
126,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
127,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
128,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
129,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
130,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
131,16371.0,13.0,0.0,0.0,16384.0,0.0,0.0,0.0
132,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
133,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
134,15599.0,247.0,60.0,478.0,15846.0,0.0,538.0,0.0
135,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
136,14960.0,422.0,848.0,154.0,15382.0,0.0,1002.0,0.0
137,16280.0,104.0,0.0,0.0,16384.0,0.0,0.0,0.0
138,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
139,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
140,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
141,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
142,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
143,16329.0,55.0,0.0,0.0,16384.0,0.0,0.0,0.0
144,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
145,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
146,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
147,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
148,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
149,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
150,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
151,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
152,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
153,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
154,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
155,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
156,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
157,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
158,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
159,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
160,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
161,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
162,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
163,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
164,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
165,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
166,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
167,14991.0,309.0,161.0,923.0,15300.0,0.0,1084.0,0.0
168,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
169,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
170,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
171,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
172,15697.0,231.0,75.0,381.0,15928.0,0.0,456.0,0.0
173,14410.0,618.0,256.0,1100.0,15028.0,0.0,1356.0,0.0
174,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
175,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
176,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
177,13528.0,0.0,2116.0,740.0,13528.0,0.0,2856.0,0.0
178,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
179,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
180,15976.0,89.0,197.0,122.0,16065.0,0.0,319.0,0.0
181,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
182,12592.0,2074.0,280.0,1438.0,14666.0,0.0,1718.0,0.0
183,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
184,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
185,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
186,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
187,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
188,10786.0,121.0,3601.0,1876.0,10907.0,0.0,5477.0,0.0
189,15687.0,373.0,264.0,60.0,16060.0,0.0,324.0,0.0
190,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
191,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
192,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
193,12026.0,246.0,1747.0,2365.0,12272.0,0.0,4112.0,0.0
194,15068.0,132.0,481.0,703.0,15200.0,0.0,1184.0,0.0
195,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
196,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
197,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
198,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
199,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
200,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
201,13227.0,0.0,2967.0,190.0,13227.0,0.0,3157.0,0.0
202,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
203,14601.0,137.0,582.0,1064.0,14738.0,0.0,1646.0,0.0
204,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
205,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
206,15901.0,0.0,483.0,0.0,15901.0,0.0,483.0,0.0
207,16336.0,0.0,48.0,0.0,16336.0,0.0,48.0,0.0
208,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
209,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
210,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
211,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
212,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
213,16377.0,7.0,0.0,0.0,16384.0,0.0,0.0,0.0
214,15951.0,3.0,422.0,8.0,15954.0,0.0,430.0,0.0
215,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
216,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
217,16013.0,0.0,371.0,0.0,16013.0,0.0,371.0,0.0
218,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
219,16322.0,62.0,0.0,0.0,16384.0,0.0,0.0,0.0
220,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
221,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
222,16148.0,0.0,213.0,23.0,16148.0,0.0,236.0,0.0
223,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
224,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
225,16381.0,3.0,0.0,0.0,16384.0,0.0,0.0,0.0
226,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
227,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
228,15588.0,3.0,431.0,362.0,15591.0,0.0,793.0,0.0
229,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
230,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
231,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
232,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
233,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
234,16340.0,0.0,44.0,0.0,16340.0,0.0,44.0,0.0
235,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
236,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
237,15671.0,2.0,511.0,200.0,15673.0,0.0,711.0,0.0
238,16240.0,66.0,52.0,26.0,16306.0,0.0,78.0,0.0
239,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
240,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
241,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
242,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
243,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
244,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
245,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
246,16142.0,0.0,242.0,0.0,16142.0,0.0,242.0,0.0
247,13963.0,189.0,877.0,1355.0,14152.0,0.0,2232.0,0.0
248,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
249,16350.0,0.0,34.0,0.0,16350.0,0.0,34.0,0.0
250,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
251,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
252,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
253,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
254,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
255,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
256,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
257,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
258,16366.0,18.0,0.0,0.0,16384.0,0.0,0.0,0.0
259,15088.0,268.0,325.0,703.0,15356.0,0.0,1028.0,0.0
260,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
261,16286.0,0.0,98.0,0.0,16286.0,0.0,98.0,0.0
262,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
263,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
264,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
265,16367.0,17.0,0.0,0.0,16384.0,0.0,0.0,0.0
266,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
267,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
268,15808.0,0.0,576.0,0.0,15808.0,0.0,576.0,0.0
269,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
270,15375.0,11.0,709.0,289.0,15386.0,0.0,998.0,0.0
271,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
272,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
273,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
274,15902.0,0.0,482.0,0.0,15902.0,0.0,482.0,0.0
275,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
276,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
277,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
278,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
279,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
280,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
281,15587.0,13.0,709.0,75.0,15600.0,0.0,784.0,0.0
282,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
283,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
284,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
285,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
286,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
287,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
