"Step","glowing-springroll-61 - accuracy","glowing-springroll-61 - accuracy__MIN","glowing-springroll-61 - accuracy__MAX"
"37","0.9955668449401855","0.9955668449401855","0.9955668449401855"
"38","0.9957154393196106","0.9957154393196106","0.9957154393196106"
"39","0.9958180785179138","0.9958180785179138","0.9958180785179138"
"40","0.9959583878517151","0.9959583878517151","0.9959583878517151"
"41","0.9960783123970032","0.9960783123970032","0.9960783123970032"
"42","0.9961225986480713","0.9961225986480713","0.9961225986480713"
"43","0.9962222576141357","0.9962222576141357","0.9962222576141357"
"44","0.9963303804397583","0.9963303804397583","0.9963303804397583"
"45","0.9963980913162231","0.9963980913162231","0.9963980913162231"
"46","0.9965438842773438","0.9965438842773438","0.9965438842773438"
"47","0.996618390083313","0.996618390083313","0.996618390083313"
"48","0.9966538548469543","0.9966538548469543","0.9966538548469543"
"49","0.9967331290245056","0.9967331290245056","0.9967331290245056"
"50","0.9967721700668335","0.9967721700668335","0.9967721700668335"
"51","0.9968590140342712","0.9968590140342712","0.9968590140342712"
"52","0.9969274997711182","0.9969274997711182","0.9969274997711182"
"53","0.9969702959060669","0.9969702959060669","0.9969702959060669"
"54","0.9970098733901978","0.9970098733901978","0.9970098733901978"
"55","0.9970667958259583","0.9970667958259583","0.9970667958259583"
"56","0.9971104264259338","0.9971104264259338","0.9971104264259338"
"57","0.9971776008605957","0.9971776008605957","0.9971776008605957"
"58","0.9972169995307922","0.9972169995307922","0.9972169995307922"
"59","0.9972668290138245","0.9972668290138245","0.9972668290138245"
"60","0.9973278045654297","0.9973278045654297","0.9973278045654297"
"61","0.9973019361495972","0.9973019361495972","0.9973019361495972"
"62","0.9973781108856201","0.9973781108856201","0.9973781108856201"
"63","0.9974349737167358","0.9974349737167358","0.9974349737167358"
"64","0.9974761605262756","0.9974761605262756","0.9974761605262756"
"65","0.9975140690803528","0.9975140690803528","0.9975140690803528"
"66","0.9975636005401611","0.9975636005401611","0.9975636005401611"
"67","0.9975177049636841","0.9975177049636841","0.9975177049636841"
"68","0.9976075291633606","0.9976075291633606","0.9976075291633606"
"69","0.9976426362991333","0.9976426362991333","0.9976426362991333"
"70","0.9976822733879089","0.9976822733879089","0.9976822733879089"
"71","0.9977043867111206","0.9977043867111206","0.9977043867111206"
"72","0.9977425336837769","0.9977425336837769","0.9977425336837769"
"73","0.9977550506591797","0.9977550506591797","0.9977550506591797"
"74","0.9977747201919556","0.9977747201919556","0.9977747201919556"
"75","0.9978100657463074","0.9978100657463074","0.9978100657463074"
"76","0.9978439807891846","0.9978439807891846","0.9978439807891846"
"77","0.9978710412979126","0.9978710412979126","0.9978710412979126"
"78","0.9979022145271301","0.9979022145271301","0.9979022145271301"
"79","0.9979162812232971","0.9979162812232971","0.9979162812232971"
"80","0.997933030128479","0.997933030128479","0.997933030128479"
"81","0.9979569911956787","0.9979569911956787","0.9979569911956787"
"82","0.9979789853096008","0.9979789853096008","0.9979789853096008"
"83","0.9979904294013977","0.9979904294013977","0.9979904294013977"
"84","0.9979984164237976","0.9979984164237976","0.9979984164237976"
"85","0.998041033744812","0.998041033744812","0.998041033744812"
"86","0.9980742931365967","0.9980742931365967","0.9980742931365967"
"87","0.9980964064598083","0.9980964064598083","0.9980964064598083"
"88","0.9981189966201782","0.9981189966201782","0.9981189966201782"
"89","0.9981358647346497","0.9981358647346497","0.9981358647346497"
"90","0.9981449842453003","0.9981449842453003","0.9981449842453003"
"91","0.9981594681739807","0.9981594681739807","0.9981594681739807"
"92","0.9981673955917358","0.9981673955917358","0.9981673955917358"
"93","0.9981883764266968","0.9981883764266968","0.9981883764266968"
"94","0.9982054233551025","0.9982054233551025","0.9982054233551025"
"95","0.9982346892356873","0.9982346892356873","0.9982346892356873"
"96","0.9982458353042603","0.9982458353042603","0.9982458353042603"
"97","0.9982624650001526","0.9982624650001526","0.9982624650001526"
"98","0.9982805252075195","0.9982805252075195","0.9982805252075195"
"99","0.9982810616493225","0.9982810616493225","0.9982810616493225"
"100","0.9983103275299072","0.9983103275299072","0.9983103275299072"
"101","0.9983291029930115","0.9983291029930115","0.9983291029930115"
"102","0.9983182549476624","0.9983182549476624","0.9983182549476624"
"103","0.9983409643173218","0.9983409643173218","0.9983409643173218"
"104","0.9983741044998169","0.9983741044998169","0.9983741044998169"
"105","0.9983856081962585","0.9983856081962585","0.9983856081962585"
"106","0.9983872771263123","0.9983872771263123","0.9983872771263123"
"107","0.9984090328216553","0.9984090328216553","0.9984090328216553"
"108","0.9984235167503357","0.9984235167503357","0.9984235167503357"
"109","0.9984287023544312","0.9984287023544312","0.9984287023544312"
"110","0.9984414577484131","0.9984414577484131","0.9984414577484131"
"111","0.9984399676322937","0.9984399676322937","0.9984399676322937"
"112","0.9984705448150635","0.9984705448150635","0.9984705448150635"
"113","0.9984899759292603","0.9984899759292603","0.9984899759292603"
"114","0.9985026717185974","0.9985026717185974","0.9985026717185974"
"115","0.998507559299469","0.998507559299469","0.998507559299469"
"116","0.9985068440437317","0.9985068440437317","0.9985068440437317"
"117","0.9985172748565674","0.9985172748565674","0.9985172748565674"
"118","0.9985389113426208","0.9985389113426208","0.9985389113426208"
"119","0.9985474944114685","0.9985474944114685","0.9985474944114685"
"120","0.9985629320144653","0.9985629320144653","0.9985629320144653"
"121","0.9985712170600891","0.9985712170600891","0.9985712170600891"
"122","0.9985733032226562","0.9985733032226562","0.9985733032226562"
"123","0.9985820651054382","0.9985820651054382","0.9985820651054382"
"124","0.9983724355697632","0.9983724355697632","0.9983724355697632"
"125","0.998498797416687","0.998498797416687","0.998498797416687"
"126","0.9986055493354797","0.9986055493354797","0.9986055493354797"
"127","0.9986369013786316","0.9986369013786316","0.9986369013786316"
"128","0.9986610412597656","0.9986610412597656","0.9986610412597656"
"129","0.998654842376709","0.998654842376709","0.998654842376709"
"130","0.9986588358879089","0.9986588358879089","0.9986588358879089"
"131","0.9986575245857239","0.9986575245857239","0.9986575245857239"
"132","0.9986684322357178","0.9986684322357178","0.9986684322357178"
"133","0.9986661672592163","0.9986661672592163","0.9986661672592163"
"134","0.9986884593963623","0.9986884593963623","0.9986884593963623"
"135","0.9986860156059265","0.9986860156059265","0.9986860156059265"
"136","0.9986885190010071","0.9986885190010071","0.9986885190010071"
"137","0.9987040758132935","0.9987040758132935","0.9987040758132935"
"138","0.9987007975578308","0.9987007975578308","0.9987007975578308"
"139","0.9987197518348694","0.9987197518348694","0.9987197518348694"
"140","0.998715341091156","0.998715341091156","0.998715341091156"
"141","0.9986376762390137","0.9986376762390137","0.9986376762390137"
"142","0.9986965656280518","0.9986965656280518","0.9986965656280518"
"143","0.998749315738678","0.998749315738678","0.998749315738678"
"144","0.9987733364105225","0.9987733364105225","0.9987733364105225"
"145","0.9987828731536865","0.9987828731536865","0.9987828731536865"
"146","0.9987823367118835","0.9987823367118835","0.9987823367118835"
"147","0.9987896680831909","0.9987896680831909","0.9987896680831909"
"148","0.9987916946411133","0.9987916946411133","0.9987916946411133"
"149","0.9987742900848389","0.9987742900848389","0.9987742900848389"
