"Step","glowing-springroll-61 - accuracy","glowing-springroll-61 - accuracy__MIN","glowing-springroll-61 - accuracy__MAX"
"0","0.9835832715034485","0.9835832715034485","0.9835832715034485"
"1","0.985595166683197","0.985595166683197","0.985595166683197"
"2","0.9856285452842712","0.9856285452842712","0.9856285452842712"
"3","0.9857309460639954","0.9857309460639954","0.9857309460639954"
"4","0.9860070943832397","0.9860070943832397","0.9860070943832397"
"5","0.9861863851547241","0.9861863851547241","0.9861863851547241"
"6","0.9863936305046082","0.9863936305046082","0.9863936305046082"
"7","0.986584484577179","0.986584484577179","0.986584484577179"
"8","0.9868385195732117","0.9868385195732117","0.9868385195732117"
"9","0.9870179295539856","0.9870179295539856","0.9870179295539856"
"10","0.9872075319290161","0.9872075319290161","0.9872075319290161"
"11","0.9874088168144226","0.9874088168144226","0.9874088168144226"
"12","0.9875432252883911","0.9875432252883911","0.9875432252883911"
"13","0.9877435564994812","0.9877435564994812","0.9877435564994812"
"14","0.9879181981086731","0.9879181981086731","0.9879181981086731"
"15","0.9881383180618286","0.9881383180618286","0.9881383180618286"
"16","0.9884323477745056","0.9884323477745056","0.9884323477745056"
"17","0.9886673092842102","0.9886673092842102","0.9886673092842102"
"18","0.9891606569290161","0.9891606569290161","0.9891606569290161"
"19","0.9896267056465149","0.9896267056465149","0.9896267056465149"
"20","0.9900951385498047","0.9900951385498047","0.9900951385498047"
"21","0.9907348155975342","0.9907348155975342","0.9907348155975342"
"22","0.9913453459739685","0.9913453459739685","0.9913453459739685"
"23","0.9919135570526123","0.9919135570526123","0.9919135570526123"
"24","0.9924282431602478","0.9924282431602478","0.9924282431602478"
"25","0.992851972579956","0.992851972579956","0.992851972579956"
"26","0.9931755661964417","0.9931755661964417","0.9931755661964417"
"27","0.9934861063957214","0.9934861063957214","0.9934861063957214"
"28","0.9938444495201111","0.9938444495201111","0.9938444495201111"
"29","0.9940887689590454","0.9940887689590454","0.9940887689590454"
"30","0.9943147897720337","0.9943147897720337","0.9943147897720337"
"31","0.9945276975631714","0.9945276975631714","0.9945276975631714"
"32","0.994706392288208","0.994706392288208","0.994706392288208"
"33","0.9949108958244324","0.9949108958244324","0.9949108958244324"
"34","0.9951517581939697","0.9951517581939697","0.9951517581939697"
"35","0.9953286647796631","0.9953286647796631","0.9953286647796631"
"36","0.9954549074172974","0.9954549074172974","0.9954549074172974"
